"GPOName","DriveLetter","SharePath","Label"
"MapNetworkDrive_ROC",,,
"MapNetworkDrive_ROC",,,
"MapNetworkDrive_ROC",,,
"MapNetworkDrive_ROC",,,
"MapNetworkDrive_ROC",,,
"MapNetworkDrive_ROC",,,
"MapNetworkDrive_ROC",,,
"MapNetworkDrive_ROC",,,
"MapNetworkDrive_ROC","Q","\\MPLSFS01\MPLSQMS","QMS"
"MapNetworkDrive_ROC","W","\\cpfs01\CPWellness","CPWellness"
"MapNetworkDrive_ROC","X","\\mplsfs01\MPLSKAEvents","MPLSKAEvents"
"MapNetworkDrive_ROC","U","\\cpfs01\CPUsers\%LogonUser%","User Drive"
"MapNetworkDrive_ROC","I","\\cpfs01\CPSubInsurance","CPSubInsurance"
"MapNetworkDrive_ROC","L","\\cpfs01\CPForms","CPForms"
"MapNetworkDrive_ROC","J","\\colo01\Projects\ROC","Projects"
"MapNetworkDrive_ROC","V","\\mplsfs01\OwnerContracts","OwnerContracts"
"MapNetworkDrive_ROC","O","\\colofs01\OSTData","OST"
"MapNetworkDrive_SUPT",,,
"MapNetworkDrive_SUPT",,,
"MapNetworkDrive_SUPT",,,
"MapNetworkDrive_SUPT",,,
"MapNetworkDrive_SUPT",,,
"MapNetworkDrive_SUPT",,,
"MapNetworkDrive_SUPT",,,
"MapNetworkDrive_SUPT",,,
"MapNetworkDrive_SUPT","Q","\\MPLSFS01\MPLSQMS","QMS"
"MapNetworkDrive_SUPT","X","\\mplsfs01\MPLSKAEvents","MPLSKAEVENTS"
"MapNetworkDrive_SUPT","J","\\BJFS01\BJPROJECTS","\\BJFS01\BJPROJECTS"
"MapNetworkDrive_SUPT","J","\\CPFS01\CPPROJECTS","\\CPFS01\CPPROJECTS"
"MapNetworkDrive_SUPT","J","\\dulfs01\DulProject","\\DULFS01\DULPROJECTS"
"MapNetworkDrive_SUPT","J","\\mplsfs01\MPLSProjects","\\mplsfs01\MPLSProjects"
"MapNetworkDrive_SUPT","J","\\WIFS01\WIPROJECTS","\\WIFS01\WIPROJECTS"
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI",,,
"MapNetworkDrive_WI","J","\\WIFS01\WIProjects","\\WIFS01\WIProjects"
"MapNetworkDrive_WI","L","\\WIFS01\WIForms","\\WIFS01\WIForms"
"MapNetworkDrive_WI","Q","\\MPLSFS01\MPLSQMS","QMS"
"MapNetworkDrive_WI","T","\\WIFS01\WIDATA","\\WIFS01\WIDATA"
"MapNetworkDrive_WI","U","\\wifs01\wiusers\%LogonUser%",""
"MapNetworkDrive_WI","N","\\WIFS01\MADISON","\\WIFS01\MADISON"
"MapNetworkDrive_WI","X","\\mplsfs01\MPLSKAEvents","\\mplsfs01\MPLSKAEvents"
"MapNetworkDrive_WI","M","\\WIFS01\WIMKTG","\\WIFS01\WIMKTG"
"MapNetworkDrive_WI","P","\\PORTFOLIO\Imaging","\\PORTFOLIO\Imaging"
"MapNetworkDrive_WI","R","\\WIFS01\WIADMIN","\\WIFS01\WIADMIN"
"MapNetworkDrive_WI","K","\\WIFS01\WIExec","\\WIFS01\WIExec"
"MapNetworkDrive_WI","O","\\colofs01\OSTData","\\colofs01\OSTData"
"MapNetworkDrive_WI","V","\\mplsfs01\OwnerContracts","OwnerContracts"
"MapNetworkDrive",,,
"MapNetworkDrive",,,
"MapNetworkDrive",,,
"MapNetworkDrive",,,
"MapNetworkDrive",,,
"MapNetworkDrive",,,
"MapNetworkDrive",,,
"MapNetworkDrive","X","\\mplsfs01\MPLSWellness","MPLSWellness"
"MapNetworkDrive","Q","\\MPLSFS01\MPLSQMS","QMS"
"MapNetworkDrive","I","\\mplsfs01\MPLSIT","IT"
"MapNetworkDrive","U","\\mplsfs01\MPLSUsers\%LogonUser%","%LogonUser%"
"MapNetworkDrive","U","\\cpfs01\CPUsers\%LogonUser%","%LogonUser%"
"MapNetworkDrive","U","\\cpfs01\CPUsers\%LogonUser%","%LogonUser%"
"MapNetworkDrive_BJ","J","\\bjfs01\bjprojects","\\BJFS01\BJPROJECTS"
"MapNetworkDrive_BJ","K","\\bjfs01\bjexec","\\BJFS01\BJEXEC"
"MapNetworkDrive_BJ","L","\\bjfs01\BJForms","\\BJFS01\BJFORMS"
"MapNetworkDrive_BJ","M","\\MARKETING\MPLSMarketing","MARKETING"
"MapNetworkDrive_BJ","N","\\bjfs01\bjacct","\\BJFS01\BJACCT"
"MapNetworkDrive_BJ","O","\\bjfs01\bjadmin","\\BJFS01\Admin"
"MapNetworkDrive_BJ","P","\\PORTFOLIO\imaging","\\PORTFOLIO\Imaging"
"MapNetworkDrive_BJ","Q","\\MPLSFS01\MPLSQMS","\\COLO02\MPLSQMS"
